auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
,,,,,,,,6932,
VOLKSWAGEN,Los Angeles,1200 Export toit ouvrant souple,RM Sotheby's,23 780 €,REST,V,,6932,
VOLKSWAGEN,Auburn,1200 Export (surbaissée),RM Sotheby's,4 260 €,OR,V,,6932,
VOLKSWAGEN,Fort Lauderdale,Typ 11 Export toit souple,RM Sotheby's,17 060 €,OR+,V,,6932,
VOLKSWAGEN,Coventry,Coccinelle 1200 Export RHD,Silverstone Auctions,19 230 €,OR+,V,,6932,
VOLKSWAGEN,Scottsdale,Coccinelle 1200 ex-cinéma (Shaking Herbie),Barrett-Jackson,15 510 €,OR,V,,6932,
VOLKSWAGEN,Scottsdale,Coccinelle 1200 coach Export toit souple,Worldwide Auctioneers,20 690 €,REST,V,,6932,
VOLKSWAGEN,Milan,Coccinelle 1200 coach Export,RM Sotheby's,23 520 €,OR+,V,,6932,
VOLKSWAGEN,Auvers sur Oise,Coccinelle 1200 coach Export,William Le Calvez,17 864 €,REST,V,,6932,
VOLKSWAGEN,Pebble Beach,"Coccinelle Export coach, toit souple",Gooding & Co.,63 000 €,REST+,V,,6932,
VOLKSWAGEN,Auvers sur Oise,"Coccinelle 1200 Export, moteur 1300",SVV Le Calvez & Associés,8 106 €,REST/TR,V,,6932,
VOLKSWAGEN,Berlin,"Coccinelle 1200 Export, toit souple",Auctionata,8 670 €,REST,V,,6932,
VOLKSWAGEN,Paris,Coccinelle 1200 toit ouvrant Export Italie,Bonhams,12 075 €,REST,V,,6932,
VOLKSWAGEN,Bruxelles,"Coccinelle ""ovale"" coach export",Pierre Bergé & Associés,12 000 €,OR+,V,,6932,
VOLKSWAGEN,Toffen,Coccinelle (split) coach Export,Oldtimer Galerie,31 587 €,REST,V,,6932,
VOLKSWAGEN,Birmingham,Coccinelle (split) Standard,Silverstone Auctions,29 328 €,REST,V,,6932,
VOLKSWAGEN,Londres,Coccinelle 1200 export LHD,RM Auctions,12 549 €,OR+,V,,6932,
,,,,,,,,2,
VOLKSWAGEN,Toffen,Coccinelle Typ 11 coach Standard,Oldtimer Galerie Toffen,28 904 €,OR+,V,,2,
VOLKSWAGEN,Beaulieu,Coccinelle 1200 coach export,Bonhams,7 910 €,OR+,V,,2,
VOLKSWAGEN,Weybridge,Coccinelle 1200 Export RHD,Bonhams,11 400 €,REST+,V,,2,
VOLKSWAGEN,Toffen,"Coccinelle 1200 coach export, toit souple",Oldtimer Galerie Toffen,12 290 €,REST+,V,,2,
VOLKSWAGEN,Monaco (Bonhams),Coccinelle 1200 Export coach toit ouvrant,Bonhams SAM,13 000 €,REST+,V,,2,
VOLKSWAGEN,Toffen,Coccinelle 1200 coach export,Oldtimer Galerie Toffen,7 800 €,REST,V,,2,
VOLKSWAGEN,Beaulieu,Coccinelle 1200 Export RHD,Bonhams,5 850 €,REST,V,,2,
VOLKSWAGEN,Brands Hatch,"Coccinelle 1200 LHD toit ouvr., réplique Herbie",Coys Auctions,16 800 €,REST/TR,V,,2,
